date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note
09.07.2021,-68970,Platba převodem uvnitř banky,"","Dachmedia s.r.o., pronájem ploch",308,210800001,1400,"Dachmedia s.r.o., pronájem ploch"
09.07.2021,-695750,Bezhotovostní platba,"","MD Vision s.r.o., mediální kampaň",308,21217038,100,"MD Vision s.r.o., mediální kampaň"
09.07.2021,-278296,Bezhotovostní platba,"","MD Vision s.r.o., reklamní kampaň",308,21217039,100,"MD Vision s.r.o., reklamní kampaň"
09.07.2021,-115797,Bezhotovostní platba,"","MD Vision s.r.o.,silikonové náramky",308,21217041,100,"MD Vision s.r.o.,silikonové náramky"
09.07.2021,-95350,Bezhotovostní platba,"","Bohemia Properties, a.s., pronájem",308,900013518,100,"Bohemia Properties, a.s., pronájem"
09.07.2021,1200000,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
01.07.2021,-40000,Bezhotovostní platba,"","Jan Holík, zapůjčení vozidla",308,2021032,1400,"Jan Holík, zapůjčení vozidla"
01.07.2021,-2541,Platba převodem uvnitř banky,"","Tisk Sarpet s.r.o., magnety na auta",308,113314311,1400,"Tisk Sarpet s.r.o., magnety na auta"
01.07.2021,-2557,Bezhotovostní platba,"","Věra Mařková, bannery",308,113314378,400,"Věra Mařková, bannery"
01.07.2021,-1911,Bezhotovostní platba,"","Věra Maříková, polepy na auta",308,113314358,400,"Věra Maříková, polepy na auta"
01.07.2021,-3600,Platba převodem uvnitř banky,"","Jarmila Chovancová, plakát. plocha",308,202101,800,"Jarmila Chovancová, plakát. plocha"
01.07.2021,-30000,Bezhotovostní platba,"","ing. Pavel Minařík, rekl. kampaň",308,202100189,1400,"ing. Pavel Minařík, rekl. kampaň"
01.07.2021,-4050,Bezhotovostní platba,"","Redring s.r.o., výlep plakátů",308,21040,800,"Redring s.r.o., výlep plakátů"
01.07.2021,-1200,Bezhotovostní platba,"","ROLAN MAK CZ s.r.o., vývěsné tabule",308,2021018,800,"ROLAN MAK CZ s.r.o., vývěsné tabule"
01.07.2021,-3146000,Bezhotovostní platba,"","Green Marketing s.r.o., jarmark SPD",308,2021024,100,"Green Marketing s.r.o., jarmark SPD"
01.07.2021,-269225,Bezhotovostní platba,"","Green Marketing s.r.o., konference",308,2021025,100,"Green Marketing s.r.o., konference"
01.07.2021,-785804.25,Bezhotovostní platba,"","Green Marketing s.r.o.,akce ""SPĎák""",308,2021026,100,"Green Marketing s.r.o.,akce ""SPĎák"""
01.07.2021,4e+06,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
01.07.2021,-20000,Karetní transakce,"","Nákup: FACEBK *747PQ67AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 30.6.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *747PQ67AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 30.6.2021, částka  20000.00 CZK"
26.06.2021,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.6.2021, částka  15000.00 CZK",,3344,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.6.2021, částka  15000.00 CZK"
25.06.2021,-20000,Karetní transakce,"","Nákup: FACEBK *PBN3C53AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.6.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *PBN3C53AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.6.2021, částka  20000.00 CZK"
23.06.2021,-8470,Bezhotovostní platba,"","Josef Peck AX Pro, bannery",308,2021038,800,"Josef Peck AX Pro, bannery"
23.06.2021,-3532.1,Bezhotovostní platba,"","Vachta, pohonné hmoty",308,1421210525,200,"Vachta, pohonné hmoty"
23.06.2021,-1550,Bezhotovostní platba,"","Jakub Hyrš, magnetky",308,202106010,900,"Jakub Hyrš, magnetky"
23.06.2021,-6470,Bezhotovostní platba,"","Jakub Hyrš, polepy, plachta,magnety",308,202106011,1300,"Jakub Hyrš, polepy, plachta,magnety"
23.06.2021,-25000,Bezhotovostní platba,"","Ondřej Březina, digitální marketing",308,20210001,800,"Ondřej Březina, digitální marketing"
23.06.2021,-1000,Bezhotovostní platba,"","Dům kultury Ostrov, výlep plakátů",308,21137,400,"Dům kultury Ostrov, výlep plakátů"
23.06.2021,-5721999.63,Bezhotovostní platba,"","Český Domov Media House, noviny",308,2117045,100,"Český Domov Media House, noviny"
23.06.2021,-966431,Bezhotovostní platba,"","MD Vision s.r.o., reklamní předměty",308,21217035,100,"MD Vision s.r.o., reklamní předměty"
23.06.2021,-8906,Bezhotovostní platba,"","Tomáš Langr, bannery",308,2021056,1500,"Tomáš Langr, bannery"
23.06.2021,-3499,Bezhotovostní platba,"","Jindřiška Janůjová, párty stan",308,2181000526,1400,"Jindřiška Janůjová, párty stan"
23.06.2021,-7899,Bezhotovostní platba,"","Libor Bláha, pronájem, občerstvení",308,2210015,300,"Libor Bláha, pronájem, občerstvení"
23.06.2021,-2098,Bezhotovostní platba,"","Marie Pošarová, květiny",308,80231,1000,"Marie Pošarová, květiny"
23.06.2021,-3595.1,Bezhotovostní platba,"","Marie Pošarová, květiny",308,84106,1000,"Marie Pošarová, květiny"
23.06.2021,-840,Bezhotovostní platba,"","Marie Pošarová, výlep plakátů",308,25421,1000,"Marie Pošarová, výlep plakátů"
23.06.2021,-1699,Bezhotovostní platba,"","Marie Pošarová, květiny",308,73,1000,"Marie Pošarová, květiny"
23.06.2021,-12414,Bezhotovostní platba,"","MAFRA, a.s., inzerce",308,2321003993,1000,"MAFRA, a.s., inzerce"
23.06.2021,-1049826.3,Bezhotovostní platba,"","BigMedia, spol.sr.o., rekl. plochy",308,120210283,100,"BigMedia, spol.sr.o., rekl. plochy"
23.06.2021,8e+06,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
23.06.2021,-406.25,Karetní transakce,"","Nákup: FACEBK *FTW4C3TZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.6.2021, částka  406.25 CZK",,3344,,"Nákup: FACEBK *FTW4C3TZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.6.2021, částka  406.25 CZK"
23.06.2021,-20000,Karetní transakce,"","Nákup: FACEBK *ESEAP5BZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.6.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *ESEAP5BZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.6.2021, částka  20000.00 CZK"
21.06.2021,-3010.11,Karetní transakce,"","Nákup: FACEBK *QQ5726T9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.6.2021, částka  3010.11 CZK",,3344,,"Nákup: FACEBK *QQ5726T9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.6.2021, částka  3010.11 CZK"
18.06.2021,-20000,Karetní transakce,"","Nákup: FACEBK *47VV77TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.6.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *47VV77TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.6.2021, částka  20000.00 CZK"
16.06.2021,-4322,Bezhotovostní platba,"","ZIKADO, s.r.o., reklama v časopisu",308,21003641,800,"ZIKADO, s.r.o., reklama v časopisu"
16.06.2021,-58235,Bezhotovostní platba,"","MD Vision s.r.o., reklamní kampaň",308,21217032,100,"MD Vision s.r.o., reklamní kampaň"
16.06.2021,-132313.5,Bezhotovostní platba,"","BigMedia, spol. s r.o., plakáty",308,4212101159,100,"BigMedia, spol. s r.o., plakáty"
16.06.2021,-6017,Platba převodem uvnitř banky,"","Tisk Sarpet s.r.o., plachta",308,113314289,1000,"Tisk Sarpet s.r.o., plachta"
16.06.2021,-11646,Platba převodem uvnitř banky,"","Tisk Sarpet s.r.o., bannery",308,113314288,1400,"Tisk Sarpet s.r.o., bannery"
16.06.2021,5e+05,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
16.06.2021,-840.6,Karetní transakce,"","Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.6.2021, částka  39.00 USD",,3344,,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.6.2021, částka  39.00 USD"
12.06.2021,-20000,Karetní transakce,"","Nákup: FACEBK *ZFNMA5KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 11.6.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *ZFNMA5KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 11.6.2021, částka  20000.00 CZK"
09.06.2021,-3079,Bezhotovostní platba,"","olomoucký, výlep plakátů",308,21030,,"olomoucký, výlep plakátů"
09.06.2021,-17095,Platba převodem uvnitř banky,"","plzeňský, bannery",308,113314229,,"plzeňský, bannery"
09.06.2021,-9680,Platba převodem uvnitř banky,"","plzeňský, inzerce v médiích",308,202100600,,"plzeňský, inzerce v médiích"
09.06.2021,-52066.3,Bezhotovostní platba,"",plakáty A2,308,2021168,,plakáty A2
09.06.2021,-9680,Platba převodem uvnitř banky,"","olomoucký, reklama v novinách",308,202100649,,"olomoucký, reklama v novinách"
09.06.2021,-3137.7,Bezhotovostní platba,"","liberecký, reklama na FB",308,6230918677,,"liberecký, reklama na FB"
09.06.2021,-4100,Bezhotovostní platba,"","liberecký, náklady na konferenci",308,11,,"liberecký, náklady na konferenci"
09.06.2021,-121000,Bezhotovostní platba,"","jihočeský, billboardy",308,20210118,,"jihočeský, billboardy"
09.06.2021,-4511.1,Bezhotovostní platba,"","jihočeský, roznos novin Česká pošta",308,5190555811,,"jihočeský, roznos novin Česká pošta"
09.06.2021,-29995.9,Bezhotovostní platba,"","vysočina, pronájem reklamních ploch",308,21310097,,"vysočina, pronájem reklamních ploch"
09.06.2021,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 9.6.2021, částka  15000.00 CZK",,3344,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 9.6.2021, částka  15000.00 CZK"
05.06.2021,-20000,Karetní transakce,"","Nákup: FACEBK *XVDZT4P9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *XVDZT4P9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  20000.00 CZK"
02.06.2021,-1250,Platba převodem uvnitř banky,"",bezpečnostní služby na kampani,308,2021009,,bezpečnostní služby na kampani
02.06.2021,-2043,Bezhotovostní platba,"","zlínský, pietní kytice, občerstvení",308,43052,,"zlínský, pietní kytice, občerstvení"
02.06.2021,-1803,Bezhotovostní platba,"","praha, vlajka ČR",308,73872021,,"praha, vlajka ČR"
02.06.2021,-13522,Bezhotovostní platba,"","praha, phm",308,311,,"praha, phm"
02.06.2021,-15856.51,Bezhotovostní platba,"","jihočeský, roznos novin",308,5102792964,,"jihočeský, roznos novin"
02.06.2021,-3148,Bezhotovostní platba,"","zlínský, nákup čtecího zařízení",308,210108918,,"zlínský, nákup čtecího zařízení"
31.05.2021,-20000,Karetní transakce,"","Nákup: FACEBK *GMSRP43AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.5.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *GMSRP43AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.5.2021, částka  20000.00 CZK"
26.05.2021,-30008,Bezhotovostní platba,"","vysočina, pronájem rekl. ploch MHD",308,21320002,,"vysočina, pronájem rekl. ploch MHD"
26.05.2021,-40000,Bezhotovostní platba,"","vysočina, pronájem rekl. ploch",308,6011160001,,"vysočina, pronájem rekl. ploch"
26.05.2021,-16335,Bezhotovostní platba,"","vysočina, pronájem billboardů",308,30220465,,"vysočina, pronájem billboardů"
26.05.2021,-960,Bezhotovostní platba,"","zlínský, kytice na pietní akci",308,182021,,"zlínský, kytice na pietní akci"
26.05.2021,-6040,Bezhotovostní platba,"","liberecký, polep na auto",308,2321,,"liberecký, polep na auto"
26.05.2021,-30000,Platba převodem uvnitř banky,"",banner na webových stránkách,308,12021,,banner na webových stránkách
26.05.2021,-227238,Bezhotovostní platba,"","reklamní materiály, plakáty",308,4212100902,,"reklamní materiály, plakáty"
26.05.2021,-695750,Bezhotovostní platba,"",mediální a on-line kampaň,308,21217019,,mediální a on-line kampaň
26.05.2021,-3466.5,Bezhotovostní platba,"","královéhradecký, phm výlep plakátů",308,103,,"královéhradecký, phm výlep plakátů"
26.05.2021,-1754.1,Bezhotovostní platba,"","královéhradecký, phm výlep plakátů",308,2021000341,,"královéhradecký, phm výlep plakátů"
26.05.2021,-3228.4,Bezhotovostní platba,"","královéhradecký, phm výlep plakátů",308,227,,"královéhradecký, phm výlep plakátů"
26.05.2021,1e+06,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
25.05.2021,-20000,Karetní transakce,"","Nákup: FACEBK *DJQRT4KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.5.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *DJQRT4KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.5.2021, částka  20000.00 CZK"
24.05.2021,-17158.79,Karetní transakce,"","Nákup: FACEBK *U95FU23272,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.5.2021, částka  17158.79 CZK",,3344,,"Nákup: FACEBK *U95FU23272,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.5.2021, částka  17158.79 CZK"
20.05.2021,-12624.6,Karetní transakce,"","Nákup: FACEBK *M8MQA6X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.5.2021, částka  12624.60 CZK",,3344,,"Nákup: FACEBK *M8MQA6X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.5.2021, částka  12624.60 CZK"
18.05.2021,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 18.5.2021, částka  15000.00 CZK",,3344,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 18.5.2021, částka  15000.00 CZK"
17.05.2021,2222,Bezhotovostní příjem,UHRICKOVA MONIKA,Platba zpet,,0,,UHRICKOVA MONIKA
17.05.2021,-839.64,Karetní transakce,"","Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.5.2021, částka  39.00 USD",,3344,,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.5.2021, částka  39.00 USD"
15.05.2021,-20000,Karetní transakce,"","Nákup: FACEBK *VZ99C6TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 14.5.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *VZ99C6TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 14.5.2021, částka  20000.00 CZK"
13.05.2021,-3e+06,Bezhotovostní platba,"",tisk a distribuce volebních novin,308,21001,,tisk a distribuce volebních novin
13.05.2021,-1162,Bezhotovostní platba,"","středočeský, výlep plakátů",308,5793285,,"středočeský, výlep plakátů"
13.05.2021,-2222,Bezhotovostní platba,"","zlínský, kytice na pietní akci",308,5676685,,"zlínský, kytice na pietní akci"
13.05.2021,-728.6,Bezhotovostní platba,"","zlínský, phm, lepidlo",308,4524,,"zlínský, phm, lepidlo"
13.05.2021,-18150,Platba převodem uvnitř banky,"","ústecký, reklamní plochy, plakáty",308,202107,,"ústecký, reklamní plochy, plakáty"
13.05.2021,-436,Bezhotovostní platba,"","zlínský, plakátování",308,82021,,"zlínský, plakátování"
13.05.2021,-2692870,Bezhotovostní platba,"",výroba audiovizuálního díla,308,202121006,,výroba audiovizuálního díla
13.05.2021,6e+06,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
10.05.2021,-20000,Karetní transakce,"","Nákup: FACEBK *RVDBB57AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 9.5.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *RVDBB57AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 9.5.2021, částka  20000.00 CZK"
05.05.2021,-2222,Bezhotovostní platba,"","zlínský, kytice na pietní akci",308,133357,,"zlínský, kytice na pietní akci"
05.05.2021,-6534,Platba převodem uvnitř banky,"","jihomoravský, distribuce novin",308,21100058,,"jihomoravský, distribuce novin"
05.05.2021,-2896.74,Bezhotovostní platba,"","plzeňský, PR článek v Denik.cz",308,2117009098,,"plzeňský, PR článek v Denik.cz"
05.05.2021,-1209.3,Platba převodem uvnitř banky,"","plzeňský, phm na výlep plakátů",308,202,,"plzeňský, phm na výlep plakátů"
05.05.2021,-184,Platba převodem uvnitř banky,"","plzeňský, sprej na výlep plakátů",308,6950231,,"plzeňský, sprej na výlep plakátů"
05.05.2021,-1680,Bezhotovostní platba,"","plzeňský, výlep plakátů",308,2021003,,"plzeňský, výlep plakátů"
05.05.2021,-2940,Bezhotovostní platba,"","plzeňský, lepidla pro výlep",308,1147,,"plzeňský, lepidla pro výlep"
05.05.2021,-1129,Platba převodem uvnitř banky,"","plzeňský, smuteční věnce",308,969,,"plzeňský, smuteční věnce"
05.05.2021,-3938,Bezhotovostní platba,"","moravskoslezský, potisk logo SPD",308,1421,,"moravskoslezský, potisk logo SPD"
05.05.2021,-2150,Bezhotovostní platba,"","moravskoslezský, plakáty A5",308,1021,,"moravskoslezský, plakáty A5"
05.05.2021,-20000,Karetní transakce,"","Nákup: FACEBK *YAWHF4PAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.5.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *YAWHF4PAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.5.2021, částka  20000.00 CZK"
03.05.2021,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 2.5.2021, částka  15000.00 CZK",,3344,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 2.5.2021, částka  15000.00 CZK"
01.05.2021,-20000,Karetní transakce,"","Nákup: FACEBK *WZBFY5TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 30.4.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *WZBFY5TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 30.4.2021, částka  20000.00 CZK"
24.04.2021,-19997.74,Karetní transakce,"","Nákup: FACEBK *6FTYS5TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.4.2021, částka  19997.74 CZK",,3344,,"Nákup: FACEBK *6FTYS5TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.4.2021, částka  19997.74 CZK"
24.04.2021,-18455.71,Karetní transakce,"","Nákup: FACEBK *ENFLVZ2Z62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.4.2021, částka  18455.71 CZK",,3344,,"Nákup: FACEBK *ENFLVZ2Z62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.4.2021, částka  18455.71 CZK"
23.04.2021,5e+05,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
21.04.2021,-22022,Bezhotovostní platba,"","ústecký, výlepní plocha",308,2021058,,"ústecký, výlepní plocha"
21.04.2021,-3622,Bezhotovostní platba,"","olomoucký, výlep plakátů",308,21016,,"olomoucký, výlep plakátů"
21.04.2021,-2590.5,Bezhotovostní platba,"","zlínský, phm výlep plakátů",308,158,,"zlínský, phm výlep plakátů"
21.04.2021,-153,Bezhotovostní platba,"","zlínský, materiál k výlepu plakátů",308,23,,"zlínský, materiál k výlepu plakátů"
21.04.2021,-1200,Bezhotovostní platba,"","zlínský, phm výlep plakátů",308,2231,,"zlínský, phm výlep plakátů"
21.04.2021,-1391500,Bezhotovostní platba,"",mediální a on-line kampaň,308,21217016,,mediální a on-line kampaň
21.04.2021,-226270,Bezhotovostní platba,"",návrh a realizace logomanuálu,308,21217011,,návrh a realizace logomanuálu
21.04.2021,-52066.3,Bezhotovostní platba,"",plakáty A2,308,2021050,,plakáty A2
21.04.2021,1e+06,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
20.04.2021,-6068.36,Karetní transakce,"","Nákup: FACEBK *CL6JG5X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.4.2021, částka  6068.36 CZK",,3344,,"Nákup: FACEBK *CL6JG5X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.4.2021, částka  6068.36 CZK"
19.04.2021,-20000,Karetní transakce,"","Nákup: FACEBK *2K67M33AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.4.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *2K67M33AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.4.2021, částka  20000.00 CZK"
16.04.2021,-868.05,Karetní transakce,"","Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.4.2021, částka  39.00 USD",,3344,,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.4.2021, částka  39.00 USD"
16.04.2021,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 15.4.2021, částka  15000.00 CZK",,3344,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 15.4.2021, částka  15000.00 CZK"
14.04.2021,-1028500,Bezhotovostní platba,"",pronájem reklamních panelů,308,310210027,,pronájem reklamních panelů
14.04.2021,1500000,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
14.04.2021,-20000,Karetní transakce,"","Nákup: FACEBK *VLE4B5X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 13.4.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *VLE4B5X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 13.4.2021, částka  20000.00 CZK"
08.04.2021,-49065.5,Bezhotovostní platba,"",plakáty A2,308,2021003,,plakáty A2
08.04.2021,-84700,Bezhotovostní platba,"","plakáty, instalace",308,4212100567,,"plakáty, instalace"
08.04.2021,-605000,Bezhotovostní platba,"",pronájem reklamních panelů,308,4202102217,,pronájem reklamních panelů
07.04.2021,1e+06,Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,,,,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
07.04.2021,-43560,Bezhotovostní platba,"",plakáty,308,4212100565,,plakáty
07.04.2021,-19965,Bezhotovostní platba,"",grafické práce,308,21217012,,grafické práce
07.04.2021,-133100,Bezhotovostní platba,"",zpracování a návrhy billboardů,308,21217010,,zpracování a návrhy billboardů
07.04.2021,-1161.6,Bezhotovostní platba,"","moravskoslezský, pronájem vitríny",308,202100203,,"moravskoslezský, pronájem vitríny"
06.04.2021,-20000,Karetní transakce,"","Nákup: FACEBK *3WKBQ3PAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 6.4.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *3WKBQ3PAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 6.4.2021, částka  20000.00 CZK"
31.03.2021,-40852.02,Bezhotovostní platba,"","jihomoravský, billboardy",308,4202101731,,"jihomoravský, billboardy"
31.03.2021,-5023,Bezhotovostní platba,"","olomoucký, výlep plakátů",308,21014,,"olomoucký, výlep plakátů"
31.03.2021,-3581.6,Bezhotovostní platba,"","jihomoravský, city board",308,212900014,,"jihomoravský, city board"
31.03.2021,-157300,Bezhotovostní platba,"",distribuce a dotisk novin,308,2117020,,distribuce a dotisk novin
30.03.2021,-20000,Karetní transakce,"","Nákup: FACEBK *9LZ7W4X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.3.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *9LZ7W4X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.3.2021, částka  20000.00 CZK"
27.03.2021,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.3.2021, částka  15000.00 CZK",,3344,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.3.2021, částka  15000.00 CZK"
